condition,condition_atom_ids,condition_manshu_rate_pct,condition_recent_manshu_rate_pct,head_selector,second_selector,third_selector,kill_selector,template,train_bet_races,train_avg_points,train_manshu_hit_count,train_manshu_hit_rate_pct,train_roi_all_pct,train_roi_50plus_pct,train_roi_manshu_only_pct,valid_bet_races,valid_avg_points,valid_manshu_hit_count,valid_manshu_hit_rate_pct,valid_plus50_hit_count,valid_roi_all_pct,valid_roi_50plus_pct,valid_roi_manshu_only_pct,stability_score
1号艇逃げ失敗40%以上 × 1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × 1〜3R,"b1_loss_ge40,b1_ai_pred_lt25,outer56_ai_pred_ge12,rank6_tenji_top2,round_1_3",27.93,35.1,rank5_rank6,axis_ai_pred_top2,support_best5_exhibit,kill_1,normal,89,10.2,3,3.37,61.01,61.01,45.14,56,10.29,5,8.93,5,487.69,487.69,487.69,75.261
1号艇逃げ失敗40%以上 × 1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × 1〜3R,"b1_loss_ge40,b1_ai_pred_lt25,outer56_ai_pred_ge12,rank6_tenji_top2,round_1_3",27.93,35.1,rank5_rank6,axis_ai_pred_top2,support_outer_plus_ai,kill_1,normal,107,10.06,4,3.74,72.19,72.19,64.12,63,10.03,6,9.52,6,397.37,397.37,397.37,95.7054
1号艇逃げ失敗40%以上 × 1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × 1〜3R,"b1_loss_ge40,b1_ai_pred_lt25,outer56_ai_pred_ge12,rank6_tenji_top2,round_1_3",27.93,35.1,underdog_exhibit,axis_ai_pred_top2,support_outer_plus_ai,kill_1,normal,66,10.18,3,4.55,104.58,89.48,80.97,33,10.3,4,12.12,4,332.53,319.53,319.53,115.0378
1号艇逃げ失敗45%以上 × 1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × 風または波5以上 × 1〜3R,"b1_loss_ge45,b1_ai_pred_lt30,outer56_ai_pred_ge12,wind_wave_ge5,round_1_3",28.19,35.0,st_mid_outer,axis_ai_plus_top2,support_outer_plus_ai,kill_worst_ai_plus,swap23,51,10.94,2,3.92,135.79,103.76,94.18,29,10.97,3,10.34,3,264.47,264.47,264.47,124.609
1号艇逃げ失敗45%以上 × 5/6号艇AI予測最大12%以上 × AI+5位が展示2位以内 × 風または波5以上 × 1〜3R,"b1_loss_ge45,outer56_ai_pred_ge12,rank5_tenji_top2,wind_wave_ge5,round_1_3",30.57,39.02,st_mid_outer,axis_ai_plus_top2,support_best4_ai,kill_worst_ai_plus,swap23,48,10.0,2,4.17,91.06,62.46,50.33,22,10.0,2,9.09,2,264.23,264.23,264.23,77.5858
1号艇逃げ失敗40%以上 × 1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × 1〜3R,"b1_loss_ge40,b1_ai_pred_lt25,outer56_ai_pred_ge12,rank6_tenji_top2,round_1_3",27.93,35.1,rank5_rank6,axis_ai_plus_top2,support_outer_plus_ai,kill_1,normal,147,10.04,4,2.72,51.44,51.44,45.56,71,10.06,3,4.23,3,241.06,241.06,241.06,68.0327
1号艇逃げ失敗45%以上 × 1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × 風または波5以上 × 1〜3R,"b1_loss_ge45,b1_ai_pred_lt30,outer56_ai_pred_ge12,wind_wave_ge5,round_1_3",28.19,35.0,st_mid_outer,axis_ai_plus_top2,support_outer_plus_ai,kill_rank6,swap23,47,11.11,1,2.13,123.58,89.35,79.1,22,11.0,2,9.09,2,257.19,240.21,240.21,106.3558
1号艇逃げ失敗45%以上 × 1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × 風または波5以上 × 1〜3R,"b1_loss_ge45,b1_ai_pred_lt30,outer56_ai_pred_ge12,wind_wave_ge5,round_1_3",28.19,35.0,st_mid_outer,axis_ai_plus_top2,support_best5_exhibit,kill_rank6,swap23,50,11.48,1,2.0,105.17,81.25,71.93,25,11.2,2,8.0,2,226.75,207.61,207.61,97.6498
1号艇逃げ失敗40%以上 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × 1〜3R,"b1_loss_ge40,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2,round_1_3",31.93,30.93,underdog_exhibit,axis_ai_plus_top2,support_best5_exhibit,kill_worst_ai_plus,swap23,44,11.68,2,4.55,86.91,73.85,56.03,48,11.62,2,4.17,3,218.92,202.19,190.27,77.0576
1号艇逃げ失敗45%以上 × 1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × 風または波5以上 × 1〜3R,"b1_loss_ge45,b1_ai_pred_lt30,outer56_ai_pred_ge12,wind_wave_ge5,round_1_3",28.19,35.0,rank5_rank6,axis_ai_plus_top2,support_best5_exhibit,kill_1,swap23,72,10.03,2,2.78,56.18,52.15,52.15,61,10.03,4,6.56,4,178.73,178.73,178.73,78.2971
