condition_id,condition,sample_races,b1_not_win_rate_pct,b1_not_win_lift_pp,b1_top3_miss_rate_pct,manshu_rate_pct,manshu_lift_pp,winner_3to6_pct,outer56_top3_pct,score
b1_nige_lt50&b1_avgdiff_le015&outer56_exhibit_top2&round_1to6,1号艇逃げ率50%未満 × 1号艇 展示+1周平均との差+0.15以下 × 5/6号艇が展示・1周どちらか2位以内 × 1〜6R,21,71.43,39.56,28.57,28.57,12.95,57.14,52.38,48.0103
b1_avgdiff_le030&outer56_ai_pred_ge10&round_1to6,1号艇 展示+1周平均との差+0.30以下 × 5/6号艇どちらかAI1着予測10%以上 × 1〜6R,23,69.57,37.69,30.43,30.43,14.82,47.83,65.22,47.2355
b1_avgdiff_le030&b1_tenji_rank_ge4&outer56_avg_ge010&rank6_exhibit_top2&round_1to6,1号艇 展示+1周平均との差+0.30以下 × 1号艇展示タイム順位4位以下 × 5/6号艇どちらか 展示+1周平均との差+0.10以上 × AI+6位が展示・1周どちらか2位以内 × 1〜6R,21,66.67,34.79,42.86,33.33,17.72,42.86,47.62,45.3913
b1_nige_lt50&b1_avgdiff_le015&outer56_avg_ge005&outer56_exhibit_top2&round_1to6,1号艇逃げ率50%未満 × 1号艇 展示+1周平均との差+0.15以下 × 5/6号艇どちらか 展示+1周平均との差+0.05以上 × 5/6号艇が展示・1周どちらか2位以内 × 1〜6R,20,70.0,38.13,30.0,25.0,9.38,55.0,50.0,44.8496
b1_avgdiff_le015&b1_tenji_rank_ge4&outer56_avg_ge005&rank5_exhibit_top2&round_1to6,1号艇 展示+1周平均との差+0.15以下 × 1号艇展示タイム順位4位以下 × 5/6号艇どちらか 展示+1周平均との差+0.05以上 × AI+5位が展示・1周どちらか2位以内 × 1〜6R,20,65.0,33.13,35.0,35.0,19.38,45.0,40.0,44.3496
b1_avgdiff_le015&b1_tenji_rank_ge4&outer56_avg_ge010&rank5_exhibit_top2&round_1to6,1号艇 展示+1周平均との差+0.15以下 × 1号艇展示タイム順位4位以下 × 5/6号艇どちらか 展示+1周平均との差+0.10以上 × AI+5位が展示・1周どちらか2位以内 × 1〜6R,20,65.0,33.13,35.0,35.0,19.38,45.0,40.0,44.3496
b1_nige_lt50&b1_avgdiff_le015&outer56_avg_ge005&round_1to6,1号艇逃げ率50%未満 × 1号艇 展示+1周平均との差+0.15以下 × 5/6号艇どちらか 展示+1周平均との差+0.05以上 × 1〜6R,22,68.18,36.31,31.82,27.27,11.66,54.55,50.0,44.3041
b1_avgdiff_le030&outer56_ai_pred_ge10&outer56_exhibit_top2&round_1to6,1号艇 展示+1周平均との差+0.30以下 × 5/6号艇どちらかAI1着予測10%以上 × 5/6号艇が展示・1周どちらか2位以内 × 1〜6R,22,68.18,36.31,31.82,27.27,11.66,45.45,68.18,44.3041
b1_avgdiff_le030&b1_tenji_rank_ge4&outer56_avg_ge005&rank6_exhibit_top2&round_1to6,1号艇 展示+1周平均との差+0.30以下 × 1号艇展示タイム順位4位以下 × 5/6号艇どちらか 展示+1周平均との差+0.05以上 × AI+6位が展示・1周どちらか2位以内 × 1〜6R,23,65.22,33.34,39.13,30.43,14.82,43.48,47.83,42.8876
b1_loss_ge35&b1_avgdiff_le030&outer56_exhibit_top2&round_1to6,1号艇差され+まくられ35%以上 × 1号艇 展示+1周平均との差+0.30以下 × 5/6号艇が展示・1周どちらか2位以内 × 1〜6R,22,59.09,27.22,40.91,40.91,25.29,45.45,54.55,41.3496
