mode,period,selection,n,manshu_rate,target_arare_rate,head2_win_rate,axis_any_top3_rate,toss_success_rate,role_core_success_rate,role_strict_success_rate
morning,train_to_2026-05-04,all,14761,0.1639455321455186,0.3000474222613644,0.35221190976221123,0.9086782738296864,0.7911388117336224,0.2524896687216313,0.05351940925411557
morning,train_to_2026-05-04,skip_excluded,9403,0.16313942358821654,0.2997979368286717,0.356588322875678,0.908433478677018,0.8172923535042008,0.2617249813889184,0.05476975433372328
morning,train_to_2026-05-04,chaos_top5_per_day,500,0.232,0.47,0.346,0.86,0.748,0.244,0.05
morning,train_to_2026-05-04,chaos_top10_per_day,1000,0.211,0.443,0.358,0.869,0.758,0.253,0.048
morning,valid_after_2026-05-04,all,6186,0.16682832201745879,0.3061752344002586,0.3574199806013579,0.9017135467183964,0.7966375687035241,0.2505657937277724,0.051244746201099256
morning,valid_after_2026-05-04,skip_excluded,3965,0.16847414880201766,0.30970996216897856,0.36040353089533417,0.8958385876418663,0.8194199243379571,0.2582597730138714,0.05119798234552333
morning,valid_after_2026-05-04,chaos_top5_per_day,215,0.2186046511627907,0.4418604651162791,0.3209302325581395,0.8511627906976744,0.7302325581395349,0.20930232558139536,0.046511627906976744
morning,valid_after_2026-05-04,chaos_top10_per_day,430,0.21395348837209302,0.40930232558139534,0.3325581395348837,0.8604651162790697,0.7744186046511627,0.22790697674418606,0.04883720930232558
preview,train_to_2026-05-04,all,14761,0.1639455321455186,0.3000474222613644,0.4189418061106971,0.8865930492514057,0.7911388117336224,0.29557618047557754,0.06009077975746901
preview,train_to_2026-05-04,skip_excluded,10279,0.1616888802412686,0.2969160424165775,0.42183091740441675,0.8872458410351202,0.8135032590718941,0.3040179005739858,0.06216558030936862
preview,train_to_2026-05-04,chaos_top5_per_day,500,0.232,0.47,0.346,0.854,0.748,0.228,0.068
preview,train_to_2026-05-04,chaos_top10_per_day,1000,0.211,0.443,0.35,0.862,0.758,0.234,0.055
preview,valid_after_2026-05-04,all,6186,0.16682832201745879,0.3061752344002586,0.41561590688651795,0.8868412544455222,0.7966375687035241,0.29000969932104753,0.05835758163595215
preview,valid_after_2026-05-04,skip_excluded,4335,0.1651672433679354,0.30357554786620533,0.4126874279123414,0.8874279123414072,0.8166089965397924,0.2934256055363322,0.05905420991926182
preview,valid_after_2026-05-04,chaos_top5_per_day,215,0.2186046511627907,0.4418604651162791,0.33488372093023255,0.8372093023255814,0.7302325581395349,0.2186046511627907,0.04186046511627907
preview,valid_after_2026-05-04,chaos_top10_per_day,430,0.21395348837209302,0.40930232558139534,0.34186046511627904,0.8418604651162791,0.7744186046511627,0.2255813953488372,0.044186046511627906
