condition_type,condition_name,feature,value,n,manshu_n,manshu_rate,diff_vs_baseline,lift,ci95_low,ci95_high,p_value,mean_payout,median_payout,max_payout,train_n,train_rate,valid_n,valid_rate,reproducibility,priority,notes
single,venue_name = 桐生,venue_name,桐生,47,12,0.2553191489361702,0.09219858156028365,1.5652173913043477,0.15253006046383732,0.3950844913992039,0.08712668330696327,8525.106382978724,2390,110870,12,0.16666666666666666,35,0.2857142857142857,再現あり,中,
single,venue_name = 浜名湖,venue_name,浜名湖,59,12,0.2033898305084746,0.04026926313258805,1.2468680913780397,0.12036154854418066,0.32268254963282317,0.4024967767551346,8554.06779661017,2360,74370,23,0.391304347826087,36,0.08333333333333333,検証で低下,中,
single,venue_name = 蒲郡,venue_name,蒲郡,46,6,0.13043478260869565,-0.03268578476719089,0.7996219281663515,0.06117757137492025,0.2566613423036133,0.5485055237335699,7608.695652173913,2780.0,73460,46,0.13043478260869565,0,0.0,検証件数不足,参考,
single,venue_name = 津,venue_name,津,46,9,0.1956521739130435,0.03253160653715695,1.1994328922495274,0.10650490444121799,0.331715377411692,0.5503933027439907,7697.173913043478,2590.0,82350,35,0.22857142857142856,11,0.09090909090909091,検証で低下,中,
single,venue_name = びわこ,venue_name,びわこ,60,8,0.13333333333333333,-0.029787234042553207,0.817391304347826,0.06914026978309641,0.24165394590072103,0.532311022657677,8696.666666666666,1965.0,136000,48,0.125,12,0.16666666666666666,再現あり,参考,
single,venue_name = 尼崎,venue_name,尼崎,48,7,0.14583333333333334,-0.017287234042553196,0.8940217391304348,0.07248157413793963,0.27167447042858606,0.7458163964560629,5327.708333333333,1965.0,38460,48,0.14583333333333334,0,0.0,検証件数不足,参考,
single,venue_name = 鳴門,venue_name,鳴門,48,11,0.22916666666666666,0.06604609929078012,1.404891304347826,0.13307691028989044,0.36539535908451154,0.21554554648426194,5991.666666666667,2400.0,32410,48,0.22916666666666666,0,0.0,検証件数不足,中,
single,venue_name = 唐津,venue_name,唐津,60,7,0.11666666666666667,-0.04645390070921987,0.7152173913043478,0.05767647403450049,0.2217902059985814,0.33010882430334476,4794.0,1585.0,64190,48,0.125,12,0.08333333333333333,検証で低下,参考,
single,venue_name = 江戸川,venue_name,江戸川,70,12,0.17142857142857143,0.008308004052684892,1.0509316770186334,0.10087625712010546,0.27616866064982365,0.8507741143825636,7421.428571428572,2400.0,57430,35,0.17142857142857143,35,0.17142857142857143,再現あり,参考,
single,venue_name = 三国,venue_name,三国,72,15,0.20833333333333334,0.045212765957446804,1.2771739130434783,0.1305194089904011,0.3156948058995801,0.2991096438615468,7998.611111111111,2720.0,84550,36,0.2222222222222222,36,0.19444444444444445,再現あり,中,
single,venue_name = 児島,venue_name,児島,72,12,0.16666666666666666,0.003546099290780119,1.0217391304347825,0.09799275085321624,0.26910920902104796,0.9350929988264918,6829.722222222223,2495.0,73140,36,0.19444444444444445,36,0.1388888888888889,検証で低下,参考,
single,venue_name = 若松,venue_name,若松,60,8,0.13333333333333333,-0.029787234042553207,0.817391304347826,0.06914026978309641,0.24165394590072103,0.532311022657677,6582.5,2290.0,126040,36,0.16666666666666666,24,0.08333333333333333,検証で低下,参考,
