mode,scope,formation,n,avg_points,hit_count,hit_rate,manshu_hit_count,manshu_hit_rate,manshu_capture_rate,target_arare_hit_count,target_arare_hit_rate,target_arare_capture_rate,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,reference_return_rate_100yen_each
morning,all,A,20947,24.0,6030,0.28786938463741824,807,0.03852580321764453,0.23377752027809964,1781,0.08502410846421922,0.2816700933101376,5515.58872305141,2640.0,237130,0.6615704715074553
morning,all,B,20947,18.0,4218,0.20136535064687067,620,0.029598510526567052,0.17960602549246812,1320,0.06301618370172339,0.20876166376719912,5880.896159317212,2750.0,222920,0.657893731799303
morning,all,C,20947,12.0,3373,0.16102544517114623,382,0.018236501647013893,0.11066048667439166,897,0.04282236119730749,0.14186303969634667,4971.203676252594,2400,222920,0.6670752375041772
morning,all,D,20947,9.0,2641,0.12608010693655416,308,0.014703776197068792,0.08922363847045191,699,0.03336993364204898,0.1105487901312668,5092.082544490723,2510,237130,0.7133447908212791
morning,skip_excluded,A,13368,24.0,4019,0.3006433273488929,525,0.03927289048473968,0.23841961852861035,1184,0.08856971873129862,0.29256239189523103,5404.642946006469,2710,222920,0.6770290993417115
morning,skip_excluded,B,13368,18.0,2818,0.21080191502094553,412,0.030819868342309993,0.18710263396911897,889,0.06650209455415919,0.21966889053619965,5857.310149041874,2820.0,222920,0.6859623312720261
morning,skip_excluded,C,13368,12.0,2244,0.16786355475763015,258,0.019299820466786355,0.11716621253405994,602,0.0450329144225015,0.14875216209537928,4987.4376114082,2430.0,222920,0.6976741721524038
morning,skip_excluded,D,13368,9.0,1765,0.13203171753441054,197,0.014736684619988031,0.08946412352406903,469,0.03508378216636744,0.11588831233012108,4970.385269121813,2630,222920,0.7291650043220959
morning,chaos_top3_per_day,A,429,24.0,115,0.2680652680652681,29,0.0675990675990676,0.25,60,0.13986013986013987,0.2803738317757009,7756.521739130435,5320,44890,0.8663558663558664
morning,chaos_top3_per_day,B,429,18.0,79,0.18414918414918416,22,0.05128205128205128,0.1896551724137931,46,0.10722610722610723,0.21495327102803738,8700.253164556962,5590,44890,0.8900802900802901
morning,chaos_top3_per_day,C,429,12.0,56,0.13053613053613053,17,0.039627039627039624,0.14655172413793102,33,0.07692307692307693,0.1542056074766355,9439.464285714286,6020.0,44890,1.026825951825952
morning,chaos_top3_per_day,D,429,9.0,48,0.11188811188811189,11,0.02564102564102564,0.09482758620689655,22,0.05128205128205128,0.102803738317757,6995.625,4695.0,41530,0.8696969696969697
morning,chaos_top5_per_day,A,715,24.0,199,0.2783216783216783,37,0.05174825174825175,0.22699386503067484,91,0.12727272727272726,0.27575757575757576,6618.592964824121,4620,44890,0.7675407925407925
morning,chaos_top5_per_day,B,715,18.0,133,0.18601398601398603,29,0.04055944055944056,0.17791411042944785,69,0.0965034965034965,0.20909090909090908,7439.022556390977,5210,44890,0.7687567987567988
morning,chaos_top5_per_day,C,715,12.0,97,0.13566433566433567,20,0.027972027972027972,0.12269938650306748,50,0.06993006993006994,0.15151515151515152,7450.309278350515,5320,44890,0.8422843822843823
morning,chaos_top5_per_day,D,715,9.0,91,0.12727272727272726,13,0.01818181818181818,0.07975460122699386,33,0.046153846153846156,0.1,5604.945054945055,3800,41530,0.7926184926184926
morning,chaos_top10_per_day,A,1430,24.0,412,0.2881118881118881,67,0.04685314685314685,0.22112211221122113,170,0.11888111888111888,0.27463651050080773,6311.8932038834955,3925.0,83960,0.7577214452214452
morning,chaos_top10_per_day,B,1430,18.0,280,0.1958041958041958,52,0.03636363636363636,0.1716171617161716,131,0.09160839160839161,0.21163166397415187,6920.785714285715,4470.0,83960,0.7528438228438229
morning,chaos_top10_per_day,C,1430,12.0,206,0.14405594405594405,32,0.022377622377622378,0.10561056105610561,87,0.06083916083916084,0.14054927302100162,6311.553398058252,3890.0,83960,0.7576806526806527
morning,chaos_top10_per_day,D,1430,9.0,177,0.12377622377622377,21,0.014685314685314685,0.06930693069306931,61,0.04265734265734266,0.09854604200323101,5543.107344632768,3540,83960,0.7623387723387723
morning,existing_top10_per_day,A,450,24.0,111,0.24666666666666667,19,0.042222222222222223,0.14960629921259844,50,0.1111111111111111,0.211864406779661,6858.378378378378,4620,44720,0.7048888888888889
morning,existing_top10_per_day,B,450,18.0,83,0.18444444444444444,15,0.03333333333333333,0.11811023622047244,39,0.08666666666666667,0.1652542372881356,6976.746987951808,4710,44720,0.7149012345679012
morning,existing_top10_per_day,C,450,12.0,67,0.14888888888888888,15,0.03333333333333333,0.11811023622047244,30,0.06666666666666667,0.1271186440677966,7505.671641791045,4650,44720,0.9312592592592592
morning,existing_top10_per_day,D,450,9.0,49,0.10888888888888888,8,0.017777777777777778,0.06299212598425197,21,0.04666666666666667,0.08898305084745763,7110.2040816326535,4650,32310,0.860246913580247
