registration_no,name,latest_class,lane1_starts,lane1_wins,lane1_top3,lane1_out_top3,lane1_win_rate,lane1_miss_win_rate,lane1_top3_rate,lane1_out_top3_rate,win_rate_wilson_low,top3_rate_wilson_low,miss_win_rate_wilson_low,out_top3_rate_wilson_low,win_rate_wilson_high,top3_rate_wilson_high,teppan_score,tobi_score,manshu_when_lane1_missed,manshu_rate_when_lane1_missed,avg_payout_when_lane1_missed,avg_payout_when_lane1_out_top3,avg_national_win_rate,avg_local_win_rate,avg_st,avg_motor_quinella_rate,avg_exhibition_rank,main_venues
4351,里岡右貴,A1,33,24,29,4,0.727273,0.272727,0.878788,0.121212,0.557821,0.726742,0.150673,0.048161,0.849327,0.951839,0.616943,0.114794,7,0.777778,21871.1,26672.5,7.01,6.697,,29.101,2.273,芦屋 / 若松 / 福岡
3557,太田和美,A1,32,17,31,1,0.53125,0.46875,0.96875,0.03125,0.364492,0.842554,0.308691,0.005538,0.691309,0.994462,0.531814,0.202588,4,0.266667,15683.3,131120.0,6.728,6.815,,34.681,2.344,住之江 / 桐生 / 福岡
5257,西丸侑太,A1,31,22,28,3,0.709677,0.290323,0.903226,0.096774,0.534073,0.750997,0.160956,0.033464,0.839044,0.966536,0.609997,0.116334,4,0.444444,54442.2,120270.0,6.421,5.251,,36.352,2.581,丸亀 / 尼崎 / 平和島
5278,田中駿兵,A1,30,25,28,2,0.833333,0.166667,0.933333,0.066667,0.664353,0.786762,0.073364,0.018477,0.926636,0.981523,0.707196,0.054154,3,0.6,20372.0,42265.0,7.137,4.809,,30.249,1.967,尼崎 / 鳴門 / 大村
4852,川原祐明,A1,30,24,28,2,0.8,0.2,0.933333,0.066667,0.62694,0.786762,0.09505,0.018477,0.90495,0.981523,0.682877,0.068249,5,0.833333,12893.3,12975.0,7.168,5.697,,31.944,2.367,びわこ / 鳴門 / 若松
4264,長尾章平,A1,30,21,27,3,0.7,0.3,0.9,0.1,0.521239,0.743786,0.166646,0.034599,0.833354,0.965401,0.59913,0.120429,6,0.666667,23715.6,25086.7,6.887,6.26,,26.373,3.033,下関 / 若松 / 芦屋
3612,馬袋義則,A1,30,14,23,7,0.466667,0.533333,0.766667,0.233333,0.302321,0.590713,0.36142,0.117922,0.63858,0.882078,0.403258,0.276196,7,0.4375,19422.5,33181.4,6.338,5.827,,35.454,3.267,平和島 / 尼崎 / 児島
4719,上條暢嵩,A1,29,25,28,1,0.862069,0.137931,0.965517,0.034483,0.694406,0.828241,0.054974,0.006113,0.945026,0.993887,0.741249,0.037872,3,0.75,25825.0,43350.0,7.308,7.173,,29.934,2.966,住之江 / 下関 / 常滑
4236,松村 敏,A1,29,22,28,1,0.758621,0.241379,0.965517,0.034483,0.57892,0.828241,0.122183,0.006113,0.877817,0.993887,0.666183,0.081558,3,0.428571,16080.0,55220.0,7.087,6.767,,30.203,2.379,蒲郡 / 芦屋 / 下関
4123,細川裕子,A1,29,21,27,2,0.724138,0.275862,0.931034,0.068966,0.542825,0.780351,0.146986,0.019121,0.853014,0.980879,0.625959,0.102233,2,0.25,5291.2,9480.0,6.55,7.252,,32.307,3.793,多摩川 / 福岡 / 丸亀
