combo_size,phase,condition_name,n,manshu_n,manshu_rate,diff_vs_baseline,lift,ci95_low,ci95_high,p_value,train_n,train_manshu_n,train_rate,valid_n,valid_manshu_n,valid_rate,valid_diff_vs_baseline,valid_lift,mean_payout,median_payout,max_payout,reproducibility,priority,families
5,朝版,場=三国 × 1号艇A1でない × 1号艇当地勝率<5.0 × 1号艇が外枠最強艇より勝率低い × 進入固定ではない,155,44,0.2838709677419355,0.12185640463513936,1.7521324151262534,0.2187854177434936,0.3594107223104972,3.8323552530972194e-05,100,21,0.21,55,23,0.41818181818181815,0.2468398924805293,2.4406275140788414,8579.354838709678,4600.0,96250.0,再現あり,高,"venue,lane1_class,lane1_local,lane1_relative,entry_rule"
5,朝版,場=三国 × 1号艇B級 × 1号艇全国勝率<5.0 × 1号艇が外枠最強艇より勝率低い × 進入固定ではない,152,38,0.25,0.08798543689320387,1.5430711610486891,0.18789862687528025,0.3244267085935548,0.0032400340188787347,100,17,0.17,52,21,0.40384615384615385,0.232504228144865,2.3569605173587473,8415.065789473685,4665.0,84110.0,再現あり,高,"venue,lane1_class,lane1_national,lane1_relative,entry_rule"
6,直前版,1号艇が全体平均以下 × 外枠モーター強者あり × モーター2連率レンジ>=25 × 進入固定ではない × 風速5m以上 × 外枠が1号艇より展示上位,130,37,0.2846153846153846,0.12260082150858848,1.756727167963123,0.21410108829720018,0.3674938717152324,0.00014838341231415697,80,17,0.2125,50,20,0.4,0.22865807429871116,2.3345132743362833,8966.0,4515.0,74010.0,再現あり,高,"lane1_relative,outer_motor,motor_range,entry_rule,wind,outer_exhibition"
5,朝版,場=三国 × 1号艇A1でない × 1号艇当地勝率<5.0 × 1号艇が外枠最強艇より勝率低い × A1が1人以下,134,37,0.27611940298507465,0.11410483987827852,1.7042875510089999,0.20746261596412033,0.35725514703340744,0.000337376389432098,84,17,0.20238095238095238,50,20,0.4,0.22865807429871116,2.3345132743362833,8731.791044776119,4525.0,96250.0,再現あり,高,"venue,lane1_class,lane1_local,lane1_relative,a1_count"
5,朝版,場=三国 × 1号艇当地勝率<5.0 × 1号艇が外枠最強艇より勝率低い × A1が1人以下 × 進入固定ではない,134,37,0.27611940298507465,0.11410483987827852,1.7042875510089999,0.20746261596412033,0.35725514703340744,0.000337376389432098,84,17,0.20238095238095238,50,20,0.4,0.22865807429871116,2.3345132743362833,8731.791044776119,4525.0,96250.0,再現あり,高,"venue,lane1_local,lane1_relative,a1_count,entry_rule"
6,朝版,場=三国 × 1号艇A1でない × 1号艇当地勝率<5.0 × 1号艇が外枠最強艇より勝率低い × A1が1人以下 × 進入固定ではない,134,37,0.27611940298507465,0.11410483987827852,1.7042875510089999,0.20746261596412033,0.35725514703340744,0.000337376389432098,84,17,0.20238095238095238,50,20,0.4,0.22865807429871116,2.3345132743362833,8731.791044776119,4525.0,96250.0,再現あり,高,"venue,lane1_class,lane1_local,lane1_relative,a1_count,entry_rule"
5,直前版,場=三国 × 1号艇B級 × 1号艇が全体平均以下 × 進入固定ではない × 展示タイム差>=0.08,154,42,0.2727272727272727,0.11071270962047658,1.6833503575076607,0.20855911916901462,0.34795830082672785,0.00019243645556921152,104,22,0.21153846153846154,50,20,0.4,0.22865807429871116,2.3345132743362833,10266.038961038961,5075.0,100850.0,再現あり,高,"venue,lane1_class,lane1_relative,entry_rule,exhibition_range"
5,朝版,場=三国 × 1号艇A1でない × 1号艇全国勝率<5.0 × 1号艇が外枠最強艇より勝率低い × 進入固定ではない,164,41,0.25,0.08798543689320387,1.5430711610486891,0.1899627406969956,0.32148138280993,0.002228197058550929,106,18,0.16981132075471697,58,23,0.39655172413793105,0.22520979843664218,2.3143881599023497,8255.365853658537,4540.0,84110.0,再現あり,高,"venue,lane1_class,lane1_national,lane1_relative,entry_rule"
5,朝版,場=三国 × 1号艇A1でない × 1号艇当地勝率<5.0 × B級3人以上 × 進入固定ではない,160,40,0.25,0.08798543689320387,1.5430711610486891,0.1892984089436348,0.32242510938138147,0.0025237693017574614,104,18,0.17307692307692307,56,22,0.39285714285714285,0.22151521715585398,2.2928255372945636,7361.0625,4015.0,57500.0,再現あり,高,"venue,lane1_class,lane1_local,b_count,entry_rule"
6,直前版,2/3/6/10R × 1号艇が全体平均以下 × 外枠A級2人以上 × 外枠モーター強者あり × モーター2連率レンジ>=25 × 外枠が1号艇より展示上位,135,45,0.3333333333333333,0.1713187702265372,2.057428214731585,0.25939598937767533,0.4164936575293036,6.580150668789031e-08,84,25,0.2976190476190476,51,20,0.39215686274509803,0.22081493704380917,2.288738504251258,11923.111111111111,4700.0,259950.0,再現あり,高,"race_slot,lane1_relative,outer_class,outer_motor,motor_range,outer_exhibition"
