condition_type,condition_name,feature,value,n,manshu_n,manshu_rate,diff_vs_baseline,lift,ci95_low,ci95_high,p_value,mean_payout,median_payout,max_payout,train_n,train_rate,valid_n,valid_rate,reproducibility,priority,notes
compound,1号艇勝率5.0未満 × 勝率レンジ1.5以内,朝版,,158,39,0.2468354430379747,0.08482087993117857,1.5235386147063006,0.18614420233817375,0.31954531135916975,0.0038087272275246775,9267.341772151898,3205.0,84540,120,0.24166666666666667,38,0.2631578947368421,再現あり,高,低いインが横一線の混戦に入る条件。
single,grade = SG,grade,SG,140,33,0.2357142857142857,0.07369972260748958,1.454895666131621,0.17305032975689183,0.3124948810861467,0.017949747415750616,8857.285714285714,2795.0,74010,70,0.2,70,0.2714285714285714,再現あり,中,
single,wave_bucket = 8cm+,wave_bucket,8cm+,187,43,0.22994652406417113,0.067931960957375,1.4192953994672435,0.17543304139279345,0.29533224248661233,0.01169700347714353,8652.192513368984,3560,112760,135,0.1925925925925926,52,0.3269230769230769,再現あり,中,
compound,外枠A級2人以上 × 1号艇A1でない,朝版,,2886,587,0.2033957033957034,0.04138114028890727,1.2554161767644914,0.189108577388743,0.21847140900220655,1.606387911579077e-09,7985.349965349966,3505.0,259950,2014,0.1971201588877855,872,0.21788990825688073,再現あり,中,イン弱め、外枠実力厚め。
single,venue_name = 江戸川,venue_name,江戸川,416,84,0.20192307692307693,0.0399085138162808,1.2463267070008643,0.16615400009363213,0.2431470315335339,0.027167126506949302,8027.3317307692305,3190.0,197220,225,0.19111111111111112,191,0.21465968586387435,再現あり,中,
single,jcd = 03,jcd,03,416,84,0.20192307692307693,0.0399085138162808,1.2463267070008643,0.16615400009363213,0.2431470315335339,0.027167126506949302,8027.3317307692305,3190.0,197220,225,0.19111111111111112,191,0.21465968586387435,再現あり,中,
single,venue_name = 三国,venue_name,三国,563,113,0.20071047957371227,0.03869591646691614,1.2388422110017896,0.16970320620483043,0.23577444398880398,0.01270752265324826,8756.376554174067,2930,336710,348,0.1839080459770115,215,0.22790697674418606,再現あり,中,
single,jcd = 10,jcd,10,563,113,0.20071047957371227,0.03869591646691614,1.2388422110017896,0.16970320620483043,0.23577444398880398,0.01270752265324826,8756.376554174067,2930,336710,348,0.1839080459770115,215,0.22790697674418606,再現あり,中,
compound,戸田/江戸川/平和島 × 外枠A級あり,朝版,,1039,207,0.19923002887391722,0.03721546576712109,1.2297044478809571,0.17607015002308252,0.2246058490931782,0.0011313831536297059,7529.2974013474495,3410,197220,880,0.1943181818181818,159,0.22641509433962265,再現あり,中,場特性と外枠実力者の組み合わせ。
single,venue_name = 桐生,venue_name,桐生,596,118,0.19798657718120805,0.03597201407441192,1.2220295100922502,0.16797276578795278,0.2318687923834044,0.017154647345760665,7609.412751677853,2685.0,177670,374,0.18983957219251338,222,0.21171171171171171,再現あり,中,
single,jcd = 01,jcd,01,596,118,0.19798657718120805,0.03597201407441192,1.2220295100922502,0.16797276578795278,0.2318687923834044,0.017154647345760665,7609.412751677853,2685.0,177670,374,0.18983957219251338,222,0.21171171171171171,再現あり,中,
single,venue_name = 戸田,venue_name,戸田,470,92,0.19574468085106383,0.03373011774426771,1.2081918877998246,0.16240057266062013,0.23402219815561892,0.04718973698642914,7199.212765957447,3655.0,95290,422,0.1990521327014218,48,0.16666666666666666,検証で低下,中,
single,jcd = 02,jcd,02,470,92,0.19574468085106383,0.03373011774426771,1.2081918877998246,0.16240057266062013,0.23402219815561892,0.04718973698642914,7199.212765957447,3655.0,95290,422,0.1990521327014218,48,0.16666666666666666,検証で低下,中,
single,wind_speed_bucket = 6m+,wind_speed_bucket,6m+,990,189,0.19090909090909092,0.02889452780229479,1.1783452502553626,0.1676398231039637,0.21656788162483814,0.013610173752069299,7491.555555555556,2935.0,151650,729,0.18930041152263374,261,0.19540229885057472,再現あり,中,
compound,1号艇A2以下 × 外枠A1あり × 風速5m以上,直前版,,699,133,0.19027181688125894,0.02825725377446281,1.1744118135592312,0.16289627660289202,0.2210331891543995,0.042605383625879956,7656.967095851216,3370,272180,498,0.1927710843373494,201,0.18407960199004975,再現あり,参考,風は直前/結果側の気象なので朝版には使わない。
single,grade = G2,grade,G2,251,47,0.18725099601593626,0.025236432909140127,1.1557664473193368,0.1438367349393335,0.24009430300737536,0.27787758488666703,7776.573705179283,3060,197220,181,0.18232044198895028,70,0.2,再現あり,中,
single,race_no = 2,race_no,2,1105,206,0.18642533936651584,0.024410776259719713,1.1506702594607419,0.1645629401870928,0.21046050770663702,0.027647350399857107,7412.633484162896,2980,336710,772,0.18134715025906736,333,0.1981981981981982,再現あり,中,
single,venue_name = 芦屋,venue_name,芦屋,548,102,0.18613138686131386,0.024116823754517736,1.1488559009267612,0.15576893224428043,0.22086378265071835,0.12547337732955488,8295.802919708029,2515.0,188190,385,0.18441558441558442,163,0.1901840490797546,再現あり,参考,
single,jcd = 21,jcd,21,548,102,0.18613138686131386,0.024116823754517736,1.1488559009267612,0.15576893224428043,0.22086378265071835,0.12547337732955488,8295.802919708029,2515.0,188190,385,0.18441558441558442,163,0.1901840490797546,再現あり,参考,
single,outer_a1_count = 2,outer_a1_count,2,702,130,0.18518518518518517,0.023170622078389047,1.1430156748508806,0.1581901303569269,0.21560705020029727,0.09568591789244629,8123.846153846154,2870.0,222920,502,0.17330677290836655,200,0.215,再現あり,参考,
compound,ナイター/ミッドナイト × 低勝率イン × 混戦,朝版,,76,14,0.18421052631578946,0.022195963208993336,1.1369998028779813,0.11302493284924942,0.2857847102440753,0.5994771045264105,7636.710526315789,2505.0,86830,49,0.16326530612244897,27,0.2222222222222222,検証件数不足,参考,時間帯は締切予定から作るため朝版でも使用可。
single,outer_a_count = 2,outer_a_count,2,3667,675,0.18407417507499318,0.022059611968197057,1.1361582042081975,0.1718633979771793,0.19694619598623225,0.0002884946672501165,7628.98281974366,2910,259950,2559,0.17663149667839,1108,0.20126353790613719,再現あり,参考,
single,outer_a_count = 3,outer_a_count,3,1770,321,0.18135593220338983,0.019341369096593702,1.1193804354726082,0.16410143084676054,0.19999060533053964,0.027216102586868907,7640.463276836158,2350.0,222920,1197,0.17543859649122806,573,0.193717277486911,再現あり,参考,
single,lane1_class = B2,lane1_class,B2,387,70,0.18087855297157623,0.018863989864780106,1.1164339149706277,0.14572520281914392,0.22230522178253614,0.31386312303501684,7717.131782945737,3480,182120,272,0.19852941176470587,115,0.1391304347826087,検証で低下,参考,
compound,1号艇展示4位以下 × 外枠展示上位あり,直前版,,3687,666,0.18063466232709519,0.018620099220299058,1.1149285524908346,0.1685508810751333,0.19338326424283422,0.0021515072891080678,7835.538378085164,2760,345080,2575,0.1774757281553398,1112,0.18794964028776978,参考,参考,展示は締切前に分かるが朝版には入れない。
single,race_no = 6,race_no,6,1103,199,0.18041704442429737,0.018402481317501246,1.1135853528510937,0.15884491530315997,0.2042075756765792,0.09717546288133994,7929.437896645512,2710,302410,773,0.1591203104786546,330,0.23030303030303031,再現あり,参考,
single,b_count = 0,b_count,0,1393,251,0.18018664752333094,0.01817208441653481,1.1121632775971886,0.16089116013646393,0.20124123912770459,0.06566427309173806,7813.388370423546,2310,222920,923,0.17659804983748645,470,0.18723404255319148,再現あり,参考,
single,lane1_national_win_bucket = 4.5-5.49,lane1_national_win_bucket,4.5-5.49,3342,600,0.17953321364452424,0.01751865053772811,1.1081300977010333,0.16689108208361841,0.19291124687301836,0.005985376376850038,7779.721723518851,2940.0,263570,2359,0.17295464179737177,983,0.1953204476093591,再現あり,参考,
single,venue_name = 浜名湖,venue_name,浜名湖,616,110,0.17857142857142858,0.016556865464632448,1.1021936864633493,0.15034647283350383,0.21078062802581254,0.26474222545506976,8367.775974025973,2580.0,345080,440,0.15227272727272728,176,0.24431818181818182,再現あり,参考,
single,jcd = 06,jcd,06,616,110,0.17857142857142858,0.016556865464632448,1.1021936864633493,0.15034647283350383,0.21078062802581254,0.26474222545506976,8367.775974025973,2580.0,345080,440,0.15227272727272728,176,0.24431818181818182,再現あり,参考,
single,venue_name = 鳴門,venue_name,鳴門,493,88,0.17849898580121704,0.016484422694420908,1.1017465490651897,0.1472212010006697,0.2147484891379982,0.32053981664179854,7361.906693711968,3010,199660,362,0.1850828729281768,131,0.16030534351145037,検証で低下,参考,
single,jcd = 14,jcd,14,493,88,0.17849898580121704,0.016484422694420908,1.1017465490651897,0.1472212010006697,0.2147484891379982,0.32053981664179854,7361.906693711968,3010,199660,362,0.1850828729281768,131,0.16030534351145037,検証で低下,参考,
single,lane1_exhibition_rank4plus = 1,lane1_exhibition_rank4plus,1,4071,725,0.17808892164087448,0.016074358534078348,1.0992155163451727,0.16664136253161235,0.19014345089524579,0.005377829148856206,7810.019651191354,2730,421190,2843,0.17446359479423146,1228,0.18648208469055375,再現あり,参考,
compound,1号艇展示劣勢 × 外枠が1号艇より展示上位,直前版,,4071,725,0.17808892164087448,0.016074358534078348,1.0992155163451727,0.16664136253161235,0.19014345089524579,0.005377829148856206,7810.019651191354,2730,421190,2843,0.17446359479423146,1228,0.18648208469055375,参考,参考,展示順位の相対比較。
compound,外枠モーター強者あり × 1号艇A1でない,朝版,,4367,777,0.17792534920998396,0.01591078610318783,1.0982059007417735,0.16686658890107758,0.18955026226095034,0.004323150306919654,7407.366613235631,2820,272180,2968,0.17553908355795148,1399,0.182987848463188,参考,参考,モーター2連率40%以上を強めの代理指標にした条件。
single,lane1_b_class = 1,lane1_b_class,1,5294,941,0.17774839440876464,0.01573383130196851,1.097113685339491,0.16768476063985321,0.18827937388617716,0.0018904240671007155,7349.935776350586,3190.0,421190,3770,0.17188328912466844,1524,0.19225721784776903,再現あり,参考,
single,lane1_class = B1,lane1_class,B1,4907,871,0.17750152842877523,0.015486965321979101,1.0955899582420283,0.16706405568359312,0.18844356239962912,0.0032370711277089903,7320.976156511107,3160,421190,3498,0.16981132075471697,1409,0.19659332860184528,再現あり,参考,
single,lane1_national_win_bucket = lt4.5,lane1_national_win_bucket,lt4.5,2338,413,0.17664670658682635,0.014632143480030224,1.090313754513445,0.16172178125850198,0.19263250128562912,0.054839075055032716,6879.20872540633,3335.0,259950,1683,0.1687462863933452,655,0.1969465648854962,再現あり,参考,
single,lane1_local_win_bucket = lt4.5,lane1_local_win_bucket,lt4.5,3246,570,0.1756007393715342,0.01358617626473807,1.083857747132166,0.16289710690156495,0.1890713090359995,0.03566212420741843,7214.882932840419,3040.0,272180,2296,0.16681184668989546,950,0.1968421052631579,再現あり,参考,
single,race_no = 3,race_no,3,1110,194,0.17477477477477477,0.012760211667978638,1.0787596585349393,0.1535649328009518,0.19822799718119283,0.2485891785784955,7820.684684684685,2885.0,421190,781,0.176696542893726,329,0.1702127659574468,検証で低下,参考,
single,a1_count = 6,a1_count,6,863,150,0.17381228273464658,0.01179771962785045,1.0728188836954964,0.14998946100030167,0.20052625028997326,0.34690629360372993,7330.359212050985,2310,197260,555,0.16396396396396395,308,0.19155844155844157,再現あり,参考,
single,race_no = 10,race_no,10,1091,188,0.17231897341888175,0.010304410312085621,1.0636017535367681,0.15106857543828092,0.1958689176200756,0.355632216748655,8027.6076993583865,2330,217490,762,0.15879265091863518,329,0.20364741641337386,再現あり,参考,
single,day_label = 最終日,day_label,最終日,2355,404,0.17154989384288746,0.009535330736091335,1.0588547754796949,0.15686169713748446,0.18730791560802593,0.20917226331469685,7065.732484076433,2280,421190,1642,0.1668696711327649,713,0.182328190743338,再現あり,参考,
single,outer_a1_count = 3,outer_a1_count,3,927,159,0.1715210355987055,0.009506472491909362,1.058676654182272,0.14862191203055872,0.19713143633719796,0.43214158996660723,7428.834951456311,2320,197260,601,0.15973377703826955,326,0.19325153374233128,再現あり,参考,
compound,1号艇B級 × B級4人以上 × 1R〜4R,朝版,,1837,315,0.17147523135547088,0.009460668248674753,1.058393937355116,0.15492843928748506,0.1893932014229378,0.27112417005022005,7536.684812193795,3050,421190,1297,0.17039321511179645,540,0.17407407407407408,参考,参考,低勝率インとB級多数の早いレース。件数不足なら参考。
single,wave_bucket = 5-7cm,wave_bucket,5-7cm,1487,254,0.17081371889710828,0.008799155790312152,1.054310894166421,0.15253899238613128,0.190784939546007,0.3571150879601446,7165.292535305985,2680,197220,987,0.17831813576494426,500,0.156,検証で低下,参考,
single,outer_a1_count = 1,outer_a1_count,1,4812,819,0.1701995012468828,0.008184938140086667,1.050519767995741,0.15984515534656796,0.18108001129512563,0.12333379088179508,7199.827514546966,2720.0,272180,3412,0.16705744431418523,1400,0.17785714285714285,再現あり,参考,
single,day_label = 初日,day_label,初日,2316,392,0.1692573402417962,0.0072427771350000725,1.0447044820916858,0.1545359400660128,0.18507414365694486,0.3441619178996058,7206.76597582038,2460.0,336710,1607,0.16303671437461106,709,0.18335684062059238,再現あり,参考,
single,a1_count = 4,a1_count,4,249,42,0.1686746987951807,0.006660135688384583,1.0411082532376696,0.12727755461604587,0.22013995895766983,0.7754718189091234,8348.795180722891,2190,222920,176,0.17045454545454544,73,0.1643835616438356,検証で低下,参考,
single,race_no = 5,race_no,5,1104,186,0.16847826086956522,0.006463697762769088,1.0398957824458557,0.14755717006352986,0.19169855024883248,0.5599820715871826,7144.121376811594,2465.0,265740,772,0.16062176165803108,332,0.18674698795180722,再現あり,参考,
single,b_count = 2,b_count,2,1688,284,0.16824644549763032,0.0062318823908341925,1.0384649519853737,0.15115813945611367,0.18684135174920957,0.48713011116867455,7497.5888625592415,2105.0,217490,1232,0.174512987012987,456,0.1513157894736842,検証で低下,参考,
single,time_zone = day,time_zone,day,5698,958,0.16812916812916812,0.006114605022371988,1.0377410826849027,0.1586429009558284,0.17806262941176376,0.21032825208160144,7310.693225693226,2460.0,421190,4086,0.1678903573176701,1612,0.1687344913151365,検証で低下,参考,
single,lane1_local_win_bucket = 4.5-5.49,lane1_local_win_bucket,4.5-5.49,3102,520,0.16763378465506126,0.005619221548265135,1.0346834348746852,0.1549012074919225,0.18118856604965156,0.39567014072649354,7219.877498388137,2850.0,263570,2162,0.16281221091581868,940,0.17872340425531916,再現あり,参考,
single,outer_exhibition_top_flag = 1,outer_exhibition_top_flag,1,9844,1647,0.1673100365704998,0.0052954734637036815,1.032685169543759,0.16006662631811636,0.17481300862645877,0.1538912692890575,7337.080455099553,2470.0,345080,6869,0.16246906391032173,2975,0.1784873949579832,再現あり,参考,
single,early_race = 1,early_race,1,4420,737,0.1667420814479638,0.0047275183411676636,1.0291795888623383,0.15604346136899597,0.1780194942304992,0.3936592352224191,7055.085972850678,2720.0,421190,3100,0.1667741935483871,1320,0.16666666666666666,検証で低下,参考,
single,venue_name = 丸亀,venue_name,丸亀,661,110,0.1664145234493192,0.004399960342523074,1.027157807657221,0.1399647021727248,0.1967194042369824,0.7588348418327124,7693.540090771558,2600,186160,473,0.16701902748414377,188,0.16489361702127658,検証で低下,参考,
single,jcd = 15,jcd,15,661,110,0.1664145234493192,0.004399960342523074,1.027157807657221,0.1399647021727248,0.1967194042369824,0.7588348418327124,7693.540090771558,2600,186160,473,0.16701902748414377,188,0.16489361702127658,検証で低下,参考,
single,venue_name = 多摩川,venue_name,多摩川,530,88,0.1660377358490566,0.004023172742260467,1.0248321673379972,0.13678312297203093,0.20009882852818933,0.8015289961475744,6326.7169811320755,2605.0,132320,330,0.18181818181818182,200,0.14,検証で低下,参考,
single,jcd = 05,jcd,05,530,88,0.1660377358490566,0.004023172742260467,1.0248321673379972,0.13678312297203093,0.20009882852818933,0.8015289961475744,6326.7169811320755,2605.0,132320,330,0.18181818181818182,200,0.14,検証で低下,参考,
single,b_count = 3,b_count,3,4053,672,0.16580310880829016,0.003788545701494034,1.0233839824571618,0.15467080931797056,0.17756833948192347,0.5127354495366934,7526.720947446336,2690,345080,2771,0.1602309635510646,1282,0.17784711388455537,再現あり,参考,
single,a1_count = 0,a1_count,0,2842,471,0.1657283603096411,0.0037137972028449817,1.0229226134467735,0.15251050257736026,0.17984868424456268,0.5910449240379965,6815.816326530612,2570.0,255000,2020,0.16336633663366337,822,0.17153284671532848,再現あり,参考,
single,grade = G1,grade,G1,622,103,0.16559485530546625,0.003580292198670121,1.0220985825595819,0.13845230585273438,0.19684275922443528,0.8085196191636368,7024.742765273312,2310.0,197260,420,0.1761904761904762,202,0.14356435643564355,検証で低下,参考,
single,fixed_entry = 0,fixed_entry,0,12720,2094,0.16462264150943395,0.0026080784026378256,1.0160978022754574,0.15827943672666428,0.1711683614917605,0.42469342500648133,7221.546383647798,2450.0,421190,8872,0.16084310189359782,3848,0.17333679833679833,再現あり,参考,
single,wind_speed_bucket = 4-5m,wind_speed_bucket,4-5m,3128,514,0.16432225063938619,0.002307687532590058,1.0142437043210053,0.15174899341419912,0.17771901033158422,0.726128711159006,7597.925191815857,2465.0,345080,2182,0.1677360219981668,946,0.15644820295983086,検証で低下,参考,
single,venue_name = 児島,venue_name,児島,611,100,0.16366612111292964,0.0016515580061335078,1.0101938861202548,0.13644770176019666,0.19508744485317497,0.9117791101807744,7180.621931260229,2520,259060,491,0.1690427698574338,120,0.14166666666666666,検証で低下,参考,
single,jcd = 16,jcd,16,611,100,0.16366612111292964,0.0016515580061335078,1.0101938861202548,0.13644770176019666,0.19508744485317497,0.9117791101807744,7180.621931260229,2520,259060,491,0.1690427698574338,120,0.14166666666666666,検証で低下,参考,
single,b_count = 6,b_count,6,514,84,0.16342412451361868,0.0014095614068225515,1.0087002142263803,0.13397628920415794,0.1978657258058374,0.9308859787551884,7404.474708171207,2730.0,181840,365,0.15616438356164383,149,0.18120805369127516,再現あり,参考,
single,time_zone = morning,time_zone,morning,3129,510,0.1629913710450623,0.0009768079382661832,1.006029136637688,0.15046398482480985,0.17634526081339916,0.8821126043457193,7108.814317673378,2690,336710,2141,0.15740308267164876,988,0.17510121457489877,再現あり,参考,
single,selected_race = 1,selected_race,1,2752,448,0.16279069767441862,0.0007761345676224884,1.004790523473565,0.14946920944104802,0.1770523148729764,0.9120121031590469,7542.071220930233,2090.0,345080,1885,0.16392572944297082,867,0.16032295271049596,検証で低下,参考,
single,semi_final = 0,semi_final,0,12617,2051,0.16255845288103352,0.0005438897742373883,1.00335704250166,0.15622319110965638,0.16909913921734804,0.868311595075705,7094.266465879369,2440,421190,8830,0.1591166477916195,3787,0.17058357538949037,検証で低下,参考,
single,a1_count = 1,a1_count,1,6062,985,0.1624876278455955,0.00047306473879937805,1.0029198902230014,0.15341532215054945,0.17198743811935271,0.9203747963995781,7192.193995381062,2520.0,421190,4174,0.159798754192621,1888,0.1684322033898305,検証で低下,参考,
single,final_race = 0,final_race,0,12450,2020,0.16224899598393575,0.00023443287713961758,1.0014469864476632,0.15587714736618913,0.16882921472532808,0.9434043151363096,7080.367068273093,2450.0,421190,8716,0.15878843506195503,3734,0.17032672737011248,検証で低下,参考,
single,venue_name = 宮島,venue_name,宮島,598,97,0.16220735785953178,0.00019279475273564772,1.0011899840917915,0.13483244203100547,0.19389458514690977,0.9897911046917027,6567.274247491639,2320.0,150310,433,0.15935334872979215,165,0.1696969696969697,検証で低下,参考,
single,jcd = 17,jcd,17,598,97,0.16220735785953178,0.00019279475273564772,1.0011899840917915,0.13483244203100547,0.19389458514690977,0.9897911046917027,6567.274247491639,2320.0,150310,433,0.15935334872979215,165,0.1696969696969697,検証で低下,参考,
single,selected_race = 0,selected_race,0,10432,1688,0.16180981595092025,-0.0002047471558758729,0.9987362422738448,0.15486733591413726,0.16900128240601814,0.9547401239497619,7010.303872699386,2490.0,421190,7342,0.15649686733859983,3090,0.1744336569579288,再現あり,参考,
compound,早いレース × B級3人以上,朝版,,3931,636,0.16179089290256932,-0.00022367020422681128,0.998619443833087,0.1506097867013652,0.1736323886380436,0.969640150328916,6977.65708471127,2660,421190,2755,0.16079854809437386,1176,0.1641156462585034,検証で低下,参考,1R〜4Rの番組構成に着目。
single,wave_bucket = 2-4cm,wave_bucket,2-4cm,6943,1123,0.1617456430937635,-0.00026892001303263635,0.998340149133042,0.15327170056508393,0.1705936946096095,0.9515075776788917,7347.306639781074,2450,421190,4948,0.16046887631366208,1995,0.1649122807017544,検証で低下,参考,
single,venue_name = 蒲郡,venue_name,蒲郡,588,95,0.16156462585034015,-0.00044993725645597893,0.9972228591811256,0.13402762790169814,0.1934951417042235,0.9763777121132027,7156.10544217687,2285.0,263570,399,0.16541353383458646,189,0.15343915343915343,検証で低下,参考,
single,jcd = 07,jcd,07,588,95,0.16156462585034015,-0.00044993725645597893,0.9972228591811256,0.13402762790169814,0.1934951417042235,0.9763777121132027,7156.10544217687,2285.0,263570,399,0.16541353383458646,189,0.15343915343915343,検証で低下,参考,
single,grade = 一般,grade,一般,11255,1817,0.16143936028431807,-0.0005752028224780548,0.9964496844515213,0.15475746300562623,0.16835229635007867,0.86846029420163,7101.105286539316,2400,421190,7972,0.15692423482187656,3283,0.17240328967407859,再現あり,参考,
single,day_label = ２日目,day_label,２日目,2335,375,0.16059957173447537,-0.0014149913723207619,0.9912662704809565,0.14626627955319532,0.17604780960957656,0.8527839237267747,7741.533190578159,2490,302410,1620,0.15555555555555556,715,0.17202797202797201,再現あり,参考,
single,b_count = 4,b_count,4,3370,539,0.15994065281899109,-0.002073910287805042,0.9871992353771434,0.14795298322804,0.1727027345744792,0.7438603613602515,6639.80118694362,2455.0,336710,2408,0.1511627906976744,962,0.18191268191268192,再現あり,参考,
single,venue_name = 平和島,venue_name,平和島,419,67,0.15990453460620524,-0.002110028500590888,0.9869763034869896,0.12792290052446956,0.1980658385210737,0.9066860706728461,6463.579952267303,2980,66690,419,0.15990453460620524,0,0.0,検証件数不足,参考,
single,jcd = 04,jcd,04,419,67,0.15990453460620524,-0.002110028500590888,0.9869763034869896,0.12792290052446956,0.1980658385210737,0.9066860706728461,6463.579952267303,2980,66690,419,0.15990453460620524,0,0.0,検証件数不足,参考,
single,early_race = 0,early_race,0,8764,1399,0.15963030579643997,-0.002384257310356158,0.9852836852154796,0.1521113911235364,0.16744748411891774,0.5446663049934168,7154.699908717481,2280.0,345080,6127,0.15358250367227028,2637,0.17368221463784603,再現あり,参考,
single,venue_name = 津,venue_name,津,621,99,0.15942028985507245,-0.0025942732517236777,0.9839874070455408,0.13273460453852035,0.19029382378635432,0.860721966281143,7231.94847020934,2220,197260,398,0.1507537688442211,223,0.17488789237668162,再現あり,参考,
single,jcd = 09,jcd,09,621,99,0.15942028985507245,-0.0025942732517236777,0.9839874070455408,0.13273460453852035,0.19029382378635432,0.860721966281143,7231.94847020934,2220,197260,398,0.1507537688442211,223,0.17488789237668162,再現あり,参考,
single,time_zone = evening,time_zone,evening,2642,420,0.15897047691143074,-0.003044086195365392,0.9812110335207409,0.14552404769313024,0.17340721410273843,0.671094004361882,6960.938682816049,2325.0,272180,1896,0.15084388185654007,746,0.17962466487935658,再現あり,参考,
single,venue_name = 住之江,venue_name,住之江,537,85,0.15828677839851024,-0.003727784708285886,0.976991051688183,0.12985559554108247,0.19157234195484976,0.8146388029642071,6664.990689013035,2240,186060,386,0.14766839378238342,151,0.18543046357615894,再現あり,参考,
single,jcd = 12,jcd,12,537,85,0.15828677839851024,-0.003727784708285886,0.976991051688183,0.12985559554108247,0.19157234195484976,0.8146388029642071,6664.990689013035,2240,186060,386,0.14766839378238342,151,0.18543046357615894,再現あり,参考,
single,day_label = ３日目,day_label,３日目,2351,372,0.15823054019566143,-0.0037840229111346935,0.9766439334923221,0.1440368884038226,0.1735392916670578,0.6185200338750079,6836.550404083368,2580,345080,1630,0.16503067484662576,721,0.14285714285714285,検証で低下,参考,
single,wind_speed_bucket = 0-1m,wind_speed_bucket,0-1m,2795,442,0.15813953488372093,-0.0038750282230752,0.9760822228028917,0.1450827834513512,0.17213473968393447,0.5782145989300804,6822.2397137745975,2350,336710,2000,0.143,795,0.19622641509433963,再現あり,参考,
single,final_race = 1,final_race,1,734,116,0.15803814713896458,-0.003976415967831548,0.9754564287828225,0.13343747878799336,0.18619968994849426,0.7699976861257929,7815.66757493188,1870.0,217490,511,0.14481409001956946,223,0.18834080717488788,再現あり,参考,
single,wind_speed_bucket = 2-3m,wind_speed_bucket,2-3m,6271,991,0.15802902248445225,-0.0039855406223438805,0.9754001088178924,0.14921044850207954,0.16726632120633828,0.3916852778688371,6958.40535799713,2350,421190,4316,0.15477293790546803,1955,0.16521739130434782,検証で低下,参考,
