date,month,place_name,round,race_id,morning_rank,post_rate_pct,rule,buy,points,stake_yen,payback_yen,payout_yen,trifecta,hit,is_manshu,is_over5000,heads,axes,keshi,tickets,checks,focused_tickets
2025-01-04,2025-01,若松,2,2025-01-042002,3,40.0,core,1,3,300,0,4300,126,0,0,0,"6,4","4,2",3.0,425 426 452 614 621 624 625 641 642 645 652 654,展示後40%以上:OK(40.00%),425 426 452
2025-01-08,2025-01,蒲郡,2,2025-01-080702,2,40.0,core,1,3,300,0,3440,213,0,0,0,"3,5","2,5",4.0,315 325 326 351 352 356 362 365 521 523 526 532,展示後40%以上:OK(40.00%),523 526 532
2025-01-13,2025-01,戸田,3,2025-01-130203,1,40.0,core,1,2,200,0,3490,236,0,0,0,"3,2","2,5",4.0,251 253 256 315 321 325 326 351 352 356 362 365,展示後40%以上:OK(40.00%),253 256
2025-01-18,2025-01,児島,2,2025-01-181602,5,40.0,core,1,4,400,0,2980,213,0,0,0,"3,5","3,5",4.0,315 325 351 352 356 365 513 523 531 532 536 563,展示後40%以上:OK(40.00%),523 532 536 563
2025-01-22,2025-01,びわこ,3,2025-01-221103,3,40.0,core,1,3,300,0,13190,621,0,1,1,"6,3","6,1",2.0,315 316 346 361 364 365 613 614 615 631 641 651,展示後40%以上:OK(40.00%),346 364 365
2025-01-25,2025-01,宮島,3,2025-01-251703,5,40.0,core,1,4,400,0,960,235,0,0,0,"5,3","3,5",4.0,315 325 351 352 356 365 513 523 531 532 536 563,展示後40%以上:OK(40.00%),325 352 356 365
2025-02-10,2025-02,鳴門,2,2025-02-101402,8,40.0,core,1,6,600,13340,13340,534,1,1,1,"6,5","3,4",1.0,532 534 536 542 543 546 632 634 635 642 643 645,展示後40%以上:OK(40.00%),532 534 536 542 543 546
2025-02-11,2025-02,常滑,3,2025-02-110803,5,40.0,core,1,5,500,0,1120,263,0,0,0,"3,6","3,2",4.0,325 326 352 362 613 621 623 625 631 632 635 652,展示後40%以上:OK(40.00%),623 625 632 635 652
2025-02-15,2025-02,丸亀,1,2025-02-151501,5,40.0,core,1,2,200,0,1800,145,0,0,0,"4,3","3,4",5.0,314 324 341 342 346 364 413 423 431 432 436 463,展示後40%以上:OK(40.00%),346 364
2025-02-18,2025-02,丸亀,3,2025-02-181503,5,40.0,core,1,6,600,0,33290,462,0,1,1,"4,5","3,4",6.0,435 453 513 514 523 524 531 532 534 541 542 543,展示後40%以上:OK(40.00%),523 524 532 534 542 543
2025-02-27,2025-02,びわこ,10,2025-02-271110,8,40.0,core,1,1,100,0,5520,314,0,0,1,"3,5","1,2",4.0,315 316 325 326 351 352 361 362 513 516 521 523,展示後40%以上:OK(40.00%),523
2025-03-07,2025-03,下関,3,2025-03-071903,6,40.0,core,1,1,100,0,5710,514,0,0,1,"5,3","2,1",6.0,315 325 351 513 514 521 523 524 531 532 541 542,展示後40%以上:OK(40.00%),325
2025-03-13,2025-03,びわこ,1,2025-03-131101,10,40.0,core,1,2,200,0,20390,462,0,1,1,"3,4","2,4",6.0,314 321 324 325 341 342 345 352 354 421 425 452,展示後40%以上:OK(40.00%),425 452
2025-03-14,2025-03,芦屋,6,2025-03-142106,3,40.0,core,1,1,100,0,2500,246,0,0,0,"4,5","6,1",3.0,415 416 426 451 456 461 462 465 514 516 561 562,展示後40%以上:OK(40.00%),562
2025-03-21,2025-03,唐津,5,2025-03-212305,7,40.0,core,1,5,500,0,2190,215,0,0,0,"6,3","2,6",4.0,316 325 326 352 361 362 365 621 623 625 632 652,展示後40%以上:OK(40.00%),325 326 352 362 365
2025-04-05,2025-04,若松,2,2025-04-052002,8,40.0,core,1,4,400,0,21600,231,0,1,1,"6,5","6,4",2.0,541 543 546 561 563 564 614 634 641 643 645 654,展示後40%以上:OK(40.00%),543 546 563 564
2025-04-06,2025-04,若松,3,2025-04-062003,6,40.0,core,1,2,200,0,2960,254,0,0,0,"6,5","1,4",3.0,514 516 541 542 546 614 615 621 624 641 642 645,展示後40%以上:OK(40.00%),542 546
