segment,buy_races,total_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct
戸田,10,31,3100,52780,49680,1702.58,20.0,10.0
平和島,10,25,2500,21300,18800,852.0,10.0,10.0
浜名湖,10,29,2900,12540,9640,432.41,20.0,0.0
丸亀,9,31,3100,0,-3100,0.0,0.0,0.0
宮島,7,24,2400,0,-2400,0.0,0.0,0.0
尼崎,7,20,2000,0,-2000,0.0,0.0,0.0
若松,7,24,2400,0,-2400,0.0,0.0,0.0
大村,6,19,1900,0,-1900,0.0,0.0,0.0
下関,5,14,1400,0,-1400,0.0,0.0,0.0
びわこ,4,10,1000,0,-1000,0.0,0.0,0.0
津,4,13,1300,0,-1300,0.0,0.0,0.0
多摩川,3,8,800,19110,18310,2388.75,33.33,33.33
住之江,3,11,1100,0,-1100,0.0,0.0,0.0
児島,3,9,900,0,-900,0.0,0.0,0.0
常滑,3,11,1100,0,-1100,0.0,0.0,0.0
蒲郡,2,9,900,0,-900,0.0,0.0,0.0
鳴門,1,6,600,13340,12740,2223.33,100.0,100.0
三国,1,4,400,0,-400,0.0,0.0,0.0
唐津,1,4,400,0,-400,0.0,0.0,0.0
福岡,1,4,400,0,-400,0.0,0.0,0.0
芦屋,1,4,400,0,-400,0.0,0.0,0.0
