segment,buy_races,total_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct
2025-01,6,19,1900,0,-1900,0.0,0.0,0.0
2025-02,4,19,1900,13340,11440,702.11,25.0,25.0
2025-03,2,3,300,0,-300,0.0,0.0,0.0
2025-04,6,17,1700,0,-1700,0.0,0.0,0.0
2025-05,2,6,600,0,-600,0.0,0.0,0.0
2025-06,1,6,600,0,-600,0.0,0.0,0.0
2025-07,3,10,1000,70890,69890,7089.0,66.67,66.67
2025-08,3,9,900,0,-900,0.0,0.0,0.0
2025-09,1,2,200,0,-200,0.0,0.0,0.0
2025-10,5,20,2000,9450,7450,472.5,20.0,0.0
2025-11,5,16,1600,0,-1600,0.0,0.0,0.0
2025-12,2,8,800,0,-800,0.0,0.0,0.0
2026-01,7,22,2200,0,-2200,0.0,0.0,0.0
2026-02,2,4,400,0,-400,0.0,0.0,0.0
2026-03,4,10,1000,0,-1000,0.0,0.0,0.0
2026-04,7,24,2400,21300,18900,887.5,14.29,14.29
2026-05,5,20,2000,1000,-1000,50.0,20.0,0.0
2026-06,4,13,1300,0,-1300,0.0,0.0,0.0
