date,month,place_name,round,race_id,morning_rank,post_rate_pct,rule,buy,points,stake_yen,payback_yen,payout_yen,trifecta,hit,is_manshu,is_over5000,heads,axes,keshi,tickets,checks
2024-01-01,2024-01,宮島,5,2024-01-011705,1,26.07,skip_rate_ng,0,0,0,0,3760,321,0,0,0,,,,,展示後38%未満:NG(26.07%)
2024-01-01,2024-01,下関,7,2024-01-011907,2,33.21,skip_rate_ng,0,0,0,0,2200,126,0,0,0,,,,,展示後38%未満:NG(33.21%)
2024-01-01,2024-01,下関,3,2024-01-011903,3,36.06,skip_rate_ng,0,0,0,0,2580,152,0,0,0,,,,,展示後38%未満:NG(36.06%)
2024-01-01,2024-01,丸亀,5,2024-01-011505,4,38.9,skip_subcore_conditions_ng,0,0,0,0,4300,251,0,0,0,,,,,"展示後38〜39.9%:OK(38.90%) / 1号艇危険:OK / 1AI予測21.8% / 1逃げ8.0% / 1逃げ失敗56.0% / 1展示+周平均との差-0.12 / 外頭2艇の2番手まで強い:NG(頭6,3,下限27.9) / 5/6絡み:OK / 内軸残り:OK(軸2,5) / 軸ルール:AI3連対率+一般3連対率の1位と3位"
2024-01-01,2024-01,芦屋,6,2024-01-012106,5,25.82,skip_rate_ng,0,0,0,0,3880,452,0,0,0,,,,,展示後38%未満:NG(25.82%)
2024-01-01,2024-01,大村,5,2024-01-012405,6,26.17,skip_rate_ng,0,0,0,0,3540,153,0,0,0,,,,,展示後38%未満:NG(26.17%)
2024-01-01,2024-01,常滑,6,2024-01-010806,7,36.06,skip_rate_ng,0,0,0,0,1460,256,0,0,0,,,,,展示後38%未満:NG(36.06%)
2024-01-01,2024-01,若松,2,2024-01-012002,8,19.91,skip_rate_ng,0,0,0,0,15170,236,0,1,1,,,,,展示後38%未満:NG(19.91%)
2024-01-01,2024-01,津,7,2024-01-010907,9,20.72,skip_missing_exhibition,0,0,0,0,7470,156,0,0,1,,,,,展示/1周6艇未満
2024-01-01,2024-01,浜名湖,3,2024-01-010603,10,20.57,skip_rate_ng,0,0,0,0,4930,216,0,0,0,,,,,展示後38%未満:NG(20.57%)
2024-01-02,2024-01,江戸川,4,2024-01-020304,1,25.62,skip_missing_exhibition,0,0,0,0,6010,354,0,0,1,,,,,展示/1周6艇未満
2024-01-02,2024-01,常滑,6,2024-01-020806,2,35.11,skip_rate_ng,0,0,0,0,4780,315,0,0,0,,,,,展示後38%未満:NG(35.11%)
2024-01-02,2024-01,江戸川,7,2024-01-020307,3,24.12,skip_missing_exhibition,0,0,0,0,33020,256,0,1,1,,,,,展示/1周6艇未満
2024-01-02,2024-01,浜名湖,1,2024-01-020601,4,30.13,skip_rate_ng,0,0,0,0,1680,425,0,0,0,,,,,展示後38%未満:NG(30.13%)
2024-01-02,2024-01,宮島,3,2024-01-021703,5,26.07,skip_rate_ng,0,0,0,0,5580,436,0,0,1,,,,,展示後38%未満:NG(26.07%)
2024-01-02,2024-01,若松,3,2024-01-022003,6,35.41,skip_rate_ng,0,0,0,0,1370,342,0,0,0,,,,,展示後38%未満:NG(35.41%)
2024-01-02,2024-01,蒲郡,1,2024-01-020701,7,37.83,skip_rate_ng,0,0,0,0,17870,563,0,1,1,,,,,展示後38%未満:NG(37.83%)
2024-01-02,2024-01,鳴門,8,2024-01-021408,8,35.11,skip_rate_ng,0,0,0,0,3620,125,0,0,0,,,,,展示後38%未満:NG(35.11%)
2024-01-02,2024-01,津,8,2024-01-020908,9,21.02,skip_missing_exhibition,0,0,0,0,1190,231,0,0,0,,,,,展示/1周6艇未満
2024-01-02,2024-01,津,7,2024-01-020907,10,20.82,skip_missing_exhibition,0,0,0,0,2470,352,0,0,0,,,,,展示/1周6艇未満
2024-01-03,2024-01,蒲郡,5,2024-01-030705,1,31.12,skip_rate_ng,0,0,0,0,900,243,0,0,0,,,,,展示後38%未満:NG(31.12%)
2024-01-03,2024-01,福岡,4,2024-01-032204,2,22.92,skip_missing_exhibition,0,0,0,0,5000,352,0,0,1,,,,,展示/1周6艇未満
2024-01-03,2024-01,江戸川,9,2024-01-030309,3,23.22,skip_missing_exhibition,0,0,0,0,12720,451,0,1,1,,,,,展示/1周6艇未満
2024-01-03,2024-01,桐生,2,2024-01-030102,4,24.92,skip_missing_exhibition,0,0,0,0,3130,456,0,0,0,,,,,展示/1周6艇未満
2024-01-03,2024-01,浜名湖,1,2024-01-030601,5,35.85,skip_rate_ng,0,0,0,0,1110,351,0,0,0,,,,,展示後38%未満:NG(35.85%)
