filter,period,races,manshu_rate,buy_races,points,hit_rate,manshu_hit_rate,stake,payback,roi,roi_ex_top1,roi_ex_top3,max_hit
buy_core_A_outerdouble_rank1_3,overall,111,27.93,111,1581,35.14,5.41,158100,228670,144.64,119.07,89.36,40420
buy_core_A_outerdouble_rank1_3,2024,43,20.93,43,609,34.88,0.0,60900,34820,57.18,49.39,37.6,4740
buy_core_A_outerdouble_rank1_3,2025,52,30.77,52,738,40.38,9.62,73800,172150,233.27,178.5,114.85,40420
buy_core_A_outerdouble_rank1_3,2026,16,37.5,16,234,18.75,6.25,23400,21700,92.74,34.53,0.0,13620
buy_core_B_superslit_round1_6,overall,227,24.67,227,3273,32.16,1.76,327300,386460,118.08,93.05,75.16,81920
buy_core_B_superslit_round1_6,2024,50,22.0,50,732,26.0,2.0,73200,56990,77.86,54.28,32.76,17260
buy_core_B_superslit_round1_6,2025,119,28.57,119,1710,33.61,1.68,171000,224590,131.34,83.43,69.11,81920
buy_core_B_superslit_round1_6,2026,58,18.97,58,831,34.48,1.72,83100,104880,126.21,76.52,56.64,41290
buy_core_A_or_B,overall,332,25.6,332,4770,32.53,3.01,477000,605680,126.98,109.8,92.67,81920
buy_core_A_or_B,2024,92,21.74,92,1326,29.35,1.09,132600,90170,68.0,54.98,43.11,17260
buy_core_A_or_B,2025,168,29.17,168,2409,35.12,4.17,240900,393380,163.3,129.29,101.74,81920
buy_core_A_or_B,2026,72,22.22,72,1035,30.56,2.78,103500,122130,118.0,78.11,56.91,41290
buy_core_A_and_B,overall,6,33.33,6,84,66.67,0.0,8400,9450,112.5,59.52,17.62,4450
buy_core_A_and_B,2024,1,0.0,1,15,100.0,0.0,1500,1640,109.33,0.0,0.0,1640
buy_core_A_and_B,2025,3,33.33,3,39,66.67,0.0,3900,3360,86.15,37.95,0.0,1880
buy_core_A_and_B,2026,2,50.0,2,30,50.0,0.0,3000,4450,148.33,0.0,0.0,4450
buy_core_A_or_B_rank1_3,overall,244,28.28,244,3507,34.43,3.69,350700,446320,127.27,115.49,96.57,41290
buy_core_A_or_B_rank1_3,2024,70,24.29,70,999,31.43,1.43,99900,66690,66.76,49.48,40.72,17260
buy_core_A_or_B_rank1_3,2025,127,31.5,127,1830,36.22,4.72,183000,274830,150.18,128.09,102.43,40420
buy_core_A_or_B_rank1_3,2026,47,25.53,47,678,34.04,4.26,67800,104800,154.57,93.67,61.49,41290
buy_core_A_or_B_no2024,overall,240,27.08,240,3444,33.75,3.75,344400,515510,149.68,125.9,102.17,81920
buy_core_A_or_B_no2024,2025,168,29.17,168,2409,35.12,4.17,240900,393380,163.3,129.29,101.74,81920
buy_core_A_or_B_no2024,2026,72,22.22,72,1035,30.56,2.78,103500,122130,118.0,78.11,56.91,41290
