label,races,manshu_races,manshu_rate_pct,buy_races,points,stake_yen,hits,hit_rate_pct,manshu_hits,manshu_hit_rate_pct,payback_yen,profit_yen,roi_pct,roi_ex_top1_hit_pct,roi_ex_top3_hits_pct,max_hit_payout,top5_hit_payouts
codex_post_ai_exh_b1aipred30_outer56_ai12_outerdouble__rank1_3,111,31,27.93,111,1581,158100,39,35.14,6,5.41,228670,70570,144.64,119.07,89.36,40420,40420/25950/21020/17060/13620
codex_post_ai_exh_b1aipred30_outer10_rank6exh__rank1_3_round7_12,83,23,27.71,83,1194,119400,22,26.51,3,3.61,163230,43830,136.71,85.08,48.59,61640,61640/30450/13120/8800/7940
codex_post_ai_exh_outer56_ai12_avg010_outerdouble__rank1_3,109,28,25.69,109,1560,156000,34,31.19,4,3.67,187190,31190,119.99,94.08,69.67,40420,40420/21020/17060/13620/6890
codex_post_ai_exh_b1aipred30_outeraiplus1_superslit__round1_6,227,56,24.67,227,3273,327300,73,32.16,4,1.76,386460,59160,118.08,93.05,75.16,81920,81920/41290/17260/15900/9310
codex_post_ai_exh_b1aipred30_outer56_ai12_outerdouble__all,155,42,27.1,155,2211,221100,49,31.61,6,3.87,251000,29900,113.52,95.24,74.0,40420,40420/25950/21020/17060/13620
codex_post_ai_exh_b1aipred30_outer56_ai12_outerdouble__round1_6,119,32,26.89,119,1695,169500,37,31.09,4,3.36,189010,19510,111.51,87.66,64.32,40420,40420/25950/13620/11770/6890
codex_post_ai_exh_b1aipred30_outeraiplus1_superslit__rank1_2,139,39,28.06,139,2004,200400,41,29.5,4,2.88,210370,9970,104.98,84.37,67.82,41290,41290/17260/15900/13120/8590
codex_post_ai_exh_outer56_ai10_aiplus100_isshu2__rank1_3_round7_12,130,30,23.08,130,1848,184800,32,24.62,3,2.31,193760,8960,104.85,71.49,50.89,61640,61640/21020/17060/8050/7420
codex_post_ai_exh_b1aipred30_outer10_rank6exh__round7_12,136,39,28.68,136,1962,196200,32,23.53,4,2.94,203590,7390,103.77,72.35,50.14,61640,61640/30450/13120/12490/8800
codex_post_ai_exh_b1aipred30_outeraiplus1_superslit__all,314,73,23.25,314,4524,452400,92,29.3,5,1.59,455370,2970,100.66,82.55,69.61,81920,81920/41290/17260/15900/13120
codex_post_ai_exh_rank6_outer_ai5_outertenji2__round7_12,104,26,25.0,104,1488,148800,25,24.04,3,2.88,149480,680,100.46,79.99,63.78,30450,30450/13120/11000/9530/8820
codex_post_ai_exh_b1aipred30_outeraiplus1_superslit__rank1_3,198,53,26.77,198,2859,285900,62,31.31,4,2.02,276990,-8910,96.88,82.44,70.84,41290,41290/17260/15900/13120/8600
codex_post_ai_exh_outer56_ai12_avg010_outerdouble__all,157,42,26.75,157,2262,226200,45,28.66,4,2.55,216670,-9530,95.79,77.92,61.08,40420,40420/21020/17060/13620/6890
codex_post_ai_exh_b1aipred30_outer10_rank6exh__rank1_3,362,87,24.03,362,5190,519000,99,27.35,9,2.49,482810,-36190,93.03,81.15,70.35,61640,61640/30450/25590/17260/13620
codex_post_ai_exh_outer56_ai10_outerhead_b1avg0__rank1_3,124,32,25.81,124,1773,177300,44,35.48,2,1.61,161880,-15420,91.3,83.62,72.5,13620,13620/11520/8200/7440/7420
codex_post_ai_exh_outer56_ai12_avg010_outerdouble__round1_6,119,30,25.21,119,1722,172200,31,26.05,2,1.68,152310,-19890,88.45,64.98,53.07,40420,40420/13620/6890/6630/6250
