ranking_source,top_k,mode,formation,respect_skip,month,target_races,settled_races,bought_races,skipped_races,total_points,purchase_yen,return_yen,profit_yen,roi_pct,roi_without_max_hit_pct,hit_count,hit_rate_pct,manshu_hit_count,manshu_hit_rate_pct,selected_manshu_races,manshu_capture_rate_pct,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,max_losing_streak,max_drawdown_yen,sample_dates
all,1,morning,A,False,2026-05,31,31,31,0,744,74400,88140,13740,118.47,73.47,12,38.71,3,9.68,12,25.0,7345,4255.0,33480,8,19200,31
all,1,morning,A,False,2026-06,25,24,15,10,360,36000,64730,28730,179.81,55.11,5,33.33,2,13.33,11,18.18,12946,5790,44890,4,15820,25
all,1,morning,A,True,2026-05,31,31,20,11,480,48000,81320,33320,169.42,99.67,9,45.0,3,15.0,12,25.0,9035.56,4630,33480,4,9600,31
all,1,morning,A,True,2026-06,25,24,11,14,264,26400,62840,36440,238.03,67.99,4,36.36,2,18.18,11,18.18,15710,8485.0,44890,3,11020,25
all,1,morning,B,False,2026-05,31,31,31,0,558,55800,68920,13120,123.51,63.51,7,22.58,3,9.68,12,25.0,9845.71,4010,33480,12,21600,31
all,1,morning,B,False,2026-06,25,24,15,10,270,27000,58940,31940,218.3,52.04,4,26.67,2,13.33,11,18.18,14735,6535.0,44890,4,11620,25
all,1,morning,B,True,2026-05,31,31,20,11,360,36000,62100,26100,172.5,79.5,4,20.0,3,15.0,12,25.0,15525,12305.0,33480,8,14400,31
all,1,morning,B,True,2026-06,25,24,11,14,198,19800,57050,37250,288.13,61.41,3,27.27,2,18.18,11,18.18,19016.67,11180,44890,4,8020,25
all,1,morning,C,False,2026-05,31,31,31,0,372,37200,35440,-1760,95.27,58.49,6,19.35,2,6.45,12,16.67,5906.67,3690.0,13680,12,14400,31
all,1,morning,C,False,2026-06,25,24,15,10,180,18000,47760,29760,265.33,15.94,3,20.0,1,6.67,11,9.09,15920,1890,44890,5,8620,25
all,1,morning,C,True,2026-05,31,31,20,11,240,24000,28620,4620,119.25,62.25,3,15.0,2,10.0,12,16.67,9540,10930,13680,8,9600,31
all,1,morning,C,True,2026-06,25,24,11,14,132,13200,45870,32670,347.5,7.42,2,18.18,1,9.09,11,9.09,22935,22935.0,44890,4,6220,25
