ranking_source,top_k,mode,formation,respect_skip,place_name,target_races,settled_races,bought_races,skipped_races,total_points,purchase_yen,return_yen,profit_yen,roi_pct,roi_without_max_hit_pct,hit_count,hit_rate_pct,manshu_hit_count,manshu_hit_rate_pct,selected_manshu_races,manshu_capture_rate_pct,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,max_losing_streak,max_drawdown_yen,sample_dates
all,1,morning,A,False,びわこ,1,1,1,0,24,2400,11180,8780,465.83,0.0,1,100.0,1,100.0,1,100.0,11180,11180,11180,0,0,1
all,1,morning,A,False,三国,3,3,3,0,72,7200,0,-7200,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,3,7200,3
all,1,morning,A,False,丸亀,7,6,6,1,144,14400,35750,21350,248.26,15.76,2,33.33,1,16.67,3,33.33,17875,17875.0,33480,3,9730,7
all,1,morning,A,False,住之江,1,1,1,0,24,2400,0,-2400,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,1,2400,1
all,1,morning,A,False,児島,1,1,1,0,24,2400,0,-2400,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,1,2400,1
all,1,morning,A,False,多摩川,6,6,5,1,120,12000,980,-11020,8.17,0.0,1,20.0,0,0.0,4,0.0,980,980,980,3,11020,6
all,1,morning,A,False,大村,4,4,4,0,96,9600,7410,-2190,77.19,0.0,1,25.0,0,0.0,1,0.0,7410,7410,7410,3,7200,4
all,1,morning,A,False,尼崎,3,3,2,1,48,4800,0,-4800,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,2,4800,3
all,1,morning,A,False,常滑,1,1,0,1,0,0,0,0,,,0,,0,,1,0.0,,,,0,0,1
all,1,morning,A,False,平和島,2,2,2,0,48,4800,10930,6130,227.71,0.0,1,50.0,1,50.0,1,100.0,10930,10930,10930,1,2400,2
all,1,morning,A,False,徳山,2,2,2,0,48,4800,13680,8880,285.0,0.0,1,50.0,1,50.0,1,100.0,13680,13680,13680,1,2400,2
all,1,morning,A,False,戸田,6,6,2,4,48,4800,5630,830,117.29,20.83,2,100.0,0,0.0,0,,2815,2815.0,4630,0,1400,6
all,1,morning,A,False,桐生,3,3,2,1,48,4800,2860,-1940,59.58,24.58,2,100.0,0,0.0,1,0.0,1430,1430.0,1680,0,1940,3
all,1,morning,A,False,江戸川,1,1,1,0,24,2400,0,-2400,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,1,2400,1
all,1,morning,A,False,津,2,2,2,0,48,4800,49390,44590,1028.96,93.75,2,100.0,1,50.0,1,100.0,24695,24695.0,44890,0,0,2
all,1,morning,A,False,浜名湖,2,2,2,0,48,4800,0,-4800,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,2,4800,2
all,1,morning,A,False,福岡,2,2,2,0,48,4800,5790,990,120.62,0.0,1,50.0,0,0.0,0,,5790,5790,5790,1,2400,2
all,1,morning,A,False,若松,3,3,2,1,48,4800,0,-4800,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,2,4800,3
all,1,morning,A,False,蒲郡,3,3,3,0,72,7200,1890,-5310,26.25,0.0,1,33.33,0,0.0,1,0.0,1890,1890,1890,2,5310,3
all,1,morning,A,False,鳴門,3,3,3,0,72,7200,7380,180,102.5,46.81,2,66.67,0,0.0,0,,3690,3690.0,4010,1,2400,3
all,1,morning,A,True,びわこ,1,1,1,0,24,2400,11180,8780,465.83,0.0,1,100.0,1,100.0,1,100.0,11180,11180,11180,0,0,1
all,1,morning,A,True,三国,3,3,2,1,48,4800,0,-4800,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,2,4800,3
all,1,morning,A,True,丸亀,7,6,4,3,96,9600,33480,23880,348.75,0.0,1,25.0,1,25.0,3,33.33,33480,33480,33480,3,7200,7
all,1,morning,A,True,住之江,1,1,0,1,0,0,0,0,,,0,,0,,1,0.0,,,,0,0,1
all,1,morning,A,True,児島,1,1,0,1,0,0,0,0,,,0,,0,,1,0.0,,,,0,0,1
all,1,morning,A,True,多摩川,6,6,5,1,120,12000,980,-11020,8.17,0.0,1,20.0,0,0.0,4,0.0,980,980,980,3,11020,6
all,1,morning,A,True,大村,4,4,1,3,24,2400,7410,5010,308.75,0.0,1,100.0,0,0.0,1,0.0,7410,7410,7410,0,0,4
all,1,morning,A,True,尼崎,3,3,2,1,48,4800,0,-4800,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,2,4800,3
all,1,morning,A,True,常滑,1,1,0,1,0,0,0,0,,,0,,0,,1,0.0,,,,0,0,1
all,1,morning,A,True,平和島,2,2,1,1,24,2400,10930,8530,455.42,0.0,1,100.0,1,100.0,1,100.0,10930,10930,10930,0,0,2
all,1,morning,A,True,徳山,2,2,2,0,48,4800,13680,8880,285.0,0.0,1,50.0,1,50.0,1,100.0,13680,13680,13680,1,2400,2
all,1,morning,A,True,戸田,6,6,2,4,48,4800,5630,830,117.29,20.83,2,100.0,0,0.0,0,,2815,2815.0,4630,0,1400,6
all,1,morning,A,True,桐生,3,3,1,2,24,2400,1680,-720,70.0,0.0,1,100.0,0,0.0,1,0.0,1680,1680,1680,0,720,3
all,1,morning,A,True,江戸川,1,1,1,0,24,2400,0,-2400,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,1,2400,1
all,1,morning,A,True,津,2,2,2,0,48,4800,49390,44590,1028.96,93.75,2,100.0,1,50.0,1,100.0,24695,24695.0,44890,0,0,2
all,1,morning,A,True,浜名湖,2,2,2,0,48,4800,0,-4800,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,2,4800,2
all,1,morning,A,True,福岡,2,2,1,1,24,2400,5790,3390,241.25,0.0,1,100.0,0,0.0,0,,5790,5790,5790,0,0,2
all,1,morning,A,True,若松,3,3,1,2,24,2400,0,-2400,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,1,2400,3
all,1,morning,A,True,蒲郡,3,3,2,1,48,4800,0,-4800,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,2,4800,3
all,1,morning,A,True,鳴門,3,3,1,2,24,2400,4010,1610,167.08,0.0,1,100.0,0,0.0,0,,4010,4010,4010,0,0,3
all,1,morning,B,False,びわこ,1,1,1,0,18,1800,11180,9380,621.11,0.0,1,100.0,1,100.0,1,100.0,11180,11180,11180,0,0,1
all,1,morning,B,False,三国,3,3,3,0,54,5400,0,-5400,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,3,5400,3
all,1,morning,B,False,丸亀,7,6,6,1,108,10800,35750,24950,331.02,21.02,2,33.33,1,16.67,3,33.33,17875,17875.0,33480,3,6730,7
all,1,morning,B,False,住之江,1,1,1,0,18,1800,0,-1800,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,1,1800,1
all,1,morning,B,False,児島,1,1,1,0,18,1800,0,-1800,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,1,1800,1
all,1,morning,B,False,多摩川,6,6,5,1,90,9000,980,-8020,10.89,0.0,1,20.0,0,0.0,4,0.0,980,980,980,3,8020,6
all,1,morning,B,False,大村,4,4,4,0,72,7200,0,-7200,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,4,7200,4
all,1,morning,B,False,尼崎,3,3,2,1,36,3600,0,-3600,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,2,3600,3
all,1,morning,B,False,常滑,1,1,0,1,0,0,0,0,,,0,,0,,1,0.0,,,,0,0,1
all,1,morning,B,False,平和島,2,2,2,0,36,3600,10930,7330,303.61,0.0,1,50.0,1,50.0,1,100.0,10930,10930,10930,1,1800,2
all,1,morning,B,False,徳山,2,2,2,0,36,3600,13680,10080,380.0,0.0,1,50.0,1,50.0,1,100.0,13680,13680,13680,1,1800,2
all,1,morning,B,False,戸田,6,6,2,4,36,3600,0,-3600,0.0,0.0,0,0.0,0,0.0,0,,,,,2,3600,6
all,1,morning,B,False,桐生,3,3,2,1,36,3600,1180,-2420,32.78,0.0,1,50.0,0,0.0,1,0.0,1180,1180,1180,1,2420,3
all,1,morning,B,False,江戸川,1,1,1,0,18,1800,0,-1800,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,1,1800,1
all,1,morning,B,False,津,2,2,2,0,36,3600,44890,41290,1246.94,0.0,1,50.0,1,50.0,1,100.0,44890,44890,44890,1,1800,2
all,1,morning,B,False,浜名湖,2,2,2,0,36,3600,0,-3600,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,2,3600,2
all,1,morning,B,False,福岡,2,2,2,0,36,3600,0,-3600,0.0,0.0,0,0.0,0,0.0,0,,,,,2,3600,2
