ranking_source,top_k,mode,formation,respect_skip,target_races,settled_races,bought_races,skipped_races,total_points,purchase_yen,return_yen,profit_yen,roi_pct,roi_without_max_hit_pct,hit_count,hit_rate_pct,manshu_hit_count,manshu_hit_rate_pct,selected_manshu_races,manshu_capture_rate_pct,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,max_losing_streak,max_drawdown_yen,sample_dates,roi_ci95_low_pct,roi_ci95_high_pct
all,1,morning,A,False,56,55,46,10,1104,110400,152870,42470,138.47,97.81,17,36.96,5,10.87,23,21.74,8992.35,4500,44890,8,30900,56,44.91,268.01
all,1,morning,A,True,56,55,31,25,744,74400,144160,69760,193.76,133.43,13,41.94,5,16.13,23,21.74,11089.23,5790,44890,4,16500,56,64.15,342.37
all,1,morning,B,False,56,55,46,10,828,82800,127860,45060,154.42,100.21,11,23.91,5,10.87,23,21.74,11623.64,4010,44890,14,33220,56,38.13,324.84
all,1,morning,B,True,56,55,31,25,558,55800,119150,63350,213.53,133.08,7,22.58,5,16.13,23,21.74,17021.43,11180,44890,9,22420,56,46.31,418.53
all,1,morning,C,False,56,55,46,10,552,55200,83200,28000,150.72,69.4,9,19.57,3,6.52,23,13.04,9244.44,3370,44890,14,23020,56,29.35,355.2
all,1,morning,C,True,56,55,31,25,372,37200,74490,37290,200.24,79.57,5,16.13,3,9.68,23,13.04,14898,10930,44890,9,15820,56,13.41,496.53
all,1,morning,D,False,56,55,46,10,414,41400,22110,-19290,53.41,35.51,8,17.39,0,0.0,23,0.0,2763.75,2080.0,7410,9,19290,56,17.97,105.65
all,1,morning,D,True,56,55,31,25,279,27900,13400,-14500,48.03,21.47,4,12.9,0,0.0,23,0.0,3350,2505.0,7410,9,14500,56,3.58,123.94
all,1,preview,A,False,56,55,46,10,1104,110400,104620,-5780,94.76,64.44,17,36.96,4,8.7,23,17.39,6154.12,2270,33480,8,34050,56,36.07,183.27
all,1,preview,A,True,56,55,31,25,744,74400,95580,21180,128.47,83.47,12,38.71,4,12.9,23,17.39,7965,4900.0,33480,4,16540,56,49.31,227.73
all,1,preview,B,False,56,55,46,10,828,82800,79190,-3610,95.64,55.21,9,19.57,4,8.7,23,17.39,8798.89,3370,33480,14,34550,56,20.14,204.49
all,1,preview,B,True,56,55,31,25,558,55800,73620,17820,131.94,71.94,6,19.35,4,12.9,23,17.39,12270,11055.0,33480,8,18820,56,21.34,271.08
all,1,preview,C,False,56,55,46,10,552,55200,34530,-20670,62.55,37.77,7,15.22,2,4.35,23,8.7,4932.86,2270,13680,14,29530,56,13.86,139.46
all,1,preview,C,True,56,55,31,25,372,37200,28960,-8240,77.85,41.08,4,12.9,2,6.45,23,8.7,7240,7150.0,13680,9,19420,56,2.63,183.87
all,1,preview,D,False,56,55,46,10,414,41400,27510,-13890,66.45,40.05,8,17.39,1,2.17,23,4.35,3438.75,2170.0,10930,15,20260,56,20.34,140.94
all,1,preview,D,True,56,55,31,25,279,27900,21360,-6540,76.56,37.38,5,16.13,1,3.23,23,4.35,4272,3370,10930,9,13150,56,12.08,153.69
all,3,morning,A,False,168,164,139,29,3336,333600,330650,-2950,99.12,85.66,50,35.97,8,5.76,46,17.39,6613,3965.0,44890,8,64030,56,56.52,142.27
all,3,morning,A,True,168,164,96,72,2304,230400,305800,75400,132.73,113.24,40,41.67,8,8.33,46,17.39,7645,4755.0,44890,7,21390,56,80.67,195.49
all,3,morning,B,False,168,164,139,29,2502,250200,264020,13820,105.52,87.58,34,24.46,7,5.04,46,15.22,7765.29,4565.0,44890,23,45570,56,49.37,165.11
all,3,morning,B,True,168,164,96,72,1728,172800,240150,67350,138.98,113.0,25,26.04,7,7.29,46,15.22,9606,5440,44890,14,25200,56,69.71,224.14
all,3,morning,C,False,168,164,139,29,1668,166800,203850,37050,122.21,95.3,29,20.86,5,3.6,46,10.87,7029.31,4260,44890,24,28800,56,54.83,201.09
all,3,morning,C,True,168,164,96,72,1152,115200,179980,64780,156.23,117.27,20,20.83,5,5.21,46,10.87,8999,5295.0,44890,15,18000,56,66.49,277.46
all,3,morning,D,False,168,164,139,29,1251,125100,124720,-380,99.7,72.93,24,17.27,2,1.44,46,4.35,5196.67,3195.0,33490,20,31750,56,47.59,177.54
all,3,morning,D,True,168,164,96,72,864,86400,105090,18690,121.63,82.87,16,16.67,2,2.08,46,4.35,6568.12,4135.0,33490,19,20000,56,50.08,226.12
all,3,preview,A,False,168,164,139,29,3336,333600,239450,-94150,71.78,61.74,44,31.65,6,4.32,46,13.04,5442.05,2935.0,33490,10,106900,56,42.92,109.11
